packet_id,true_condition,scenario_id,seed,json_path,calibration
FCCC45C7,C3,SC_2147,91,outputs/main/C3/SC_2147_91.json,False
F80C882A,C3,SC_1691,42,outputs/main/C3/SC_1691_42.json,False
097B3192,C3,SC_0040,42,outputs/main/C3/SC_0040_42.json,False
63AD6018,C3,SC_1527,91,outputs/main/C3/SC_1527_91.json,False
F65F5F65,C3,SC_1030,91,outputs/main/C3/SC_1030_91.json,False
9DFB78F2,C3,SC_1281,42,outputs/main/C3/SC_1281_42.json,False
567E1DE2,C3,SC_0265,17,outputs/main/C3/SC_0265_17.json,False
575B8778,C3,SC_1876,91,outputs/main/C3/SC_1876_91.json,False
9624B8B6,C3,SC_2108,17,outputs/main/C3/SC_2108_17.json,False
910B2856,C3,SC_1293,42,outputs/main/C3/SC_1293_42.json,False
2647657B,C3,SC_1527,17,outputs/main/C3/SC_1527_17.json,False
C87E6612,C3,SC_0900,42,outputs/main/C3/SC_0900_42.json,False
E15827D5,C3,SC_0605,42,outputs/main/C3/SC_0605_42.json,False
332046AB,C3,SC_1036,42,outputs/main/C3/SC_1036_42.json,False
81BA8D17,C3,SC_1429,91,outputs/main/C3/SC_1429_91.json,False
21BB8787,C3,SC_1993,17,outputs/main/C3/SC_1993_17.json,False
5499654D,C3,SC_2147,17,outputs/main/C3/SC_2147_17.json,False
35CEC58A,C3,SC_0292,91,outputs/main/C3/SC_0292_91.json,False
A57DC317,C3,SC_0157,17,outputs/main/C3/SC_0157_17.json,False
7B83E1D5,C3,SC_0900,91,outputs/main/C3/SC_0900_91.json,False
C78451D8,C4,SC_1959,17,outputs/main/C4/SC_1959_17.json,False
C188D7E9,C4,SC_1368,42,outputs/main/C4/SC_1368_42.json,False
99A7D49F,C4,SC_1253,42,outputs/main/C4/SC_1253_42.json,False
0298B245,C4,SC_1030,42,outputs/main/C4/SC_1030_42.json,False
944414A8,C4,SC_1515,42,outputs/main/C4/SC_1515_42.json,False
7D4509ED,C4,SC_1358,17,outputs/main/C4/SC_1358_17.json,False
F0E3ACD2,C4,SC_1527,17,outputs/main/C4/SC_1527_17.json,False
B1112031,C4,SC_1994,91,outputs/main/C4/SC_1994_91.json,False
C5525F31,C4,SC_1437,17,outputs/main/C4/SC_1437_17.json,False
7C1FDDFC,C4,SC_2231,17,outputs/main/C4/SC_2231_17.json,False
94D758B8,C4,SC_1026,42,outputs/main/C4/SC_1026_42.json,False
45E985D6,C4,SC_0097,42,outputs/main/C4/SC_0097_42.json,False
FD397ECA,C4,SC_1474,17,outputs/main/C4/SC_1474_17.json,False
627D94BC,C4,SC_0557,17,outputs/main/C4/SC_0557_17.json,False
D72B059A,C4,SC_0243,91,outputs/main/C4/SC_0243_91.json,False
6148DB46,C4,SC_1278,91,outputs/main/C4/SC_1278_91.json,False
7812958F,C4,SC_1994,42,outputs/main/C4/SC_1994_42.json,False
515C810D,C4,SC_0072,42,outputs/main/C4/SC_0072_42.json,False
67364284,C4,SC_0014,42,outputs/main/C4/SC_0014_42.json,False
087873CC,C4,SC_0946,91,outputs/main/C4/SC_0946_91.json,False
AB6AD814,C4,SC_1470,91,outputs/main/C4/SC_1470_91.json,False
978779FC,C4,SC_1993,17,outputs/main/C4/SC_1993_17.json,False
767A7C4A,C4,SC_1036,42,outputs/main/C4/SC_1036_42.json,False
F77C638A,C4,SC_2219,42,outputs/main/C4/SC_2219_42.json,False
438DA5A0,C4,SC_0795,91,outputs/main/C4/SC_0795_91.json,False
3A9F282F,C4,SC_0222,91,outputs/main/C4/SC_0222_91.json,False
ACC86AD6,C4,SC_1817,91,outputs/main/C4/SC_1817_91.json,False
571119CC,C4,SC_1804,17,outputs/main/C4/SC_1804_17.json,False
670FE8BF,C4,SC_0409,17,outputs/main/C4/SC_0409_17.json,False
4E0E2EA7,C4,SC_2074,91,outputs/main/C4/SC_2074_91.json,False
B9274800,C4,SC_1572,91,outputs/main/C4/SC_1572_91.json,False
E732D723,C4,SC_0561,17,outputs/main/C4/SC_0561_17.json,False
DEF23EB2,C4,SC_0123,42,outputs/main/C4/SC_0123_42.json,False
379B9BD2,C4,SC_1314,17,outputs/main/C4/SC_1314_17.json,False
74C24D85,C4,SC_0292,91,outputs/main/C4/SC_0292_91.json,False
B3BE09EC,C4,SC_2156,42,outputs/main/C4/SC_2156_42.json,False
6D1E1C34,C4,SC_0487,17,outputs/main/C4/SC_0487_17.json,False
C169ECB6,C4,SC_0404,17,outputs/main/C4/SC_0404_17.json,False
8DBB0BEB,C4,SC_0900,17,outputs/main/C4/SC_0900_17.json,False
72CDC31F,C4,SC_1036,17,outputs/main/C4/SC_1036_17.json,False
